Year,State,Electoral.Vote.of.each.State,Republican,Democratic,Winner
2000,Alabama,9,9,0,Republican
2000,Alaska,3,3,0,Republican
2000,Arizona,8,8,0,Republican
2000,Arkansas,6,6,0,Republican
2000,California,54,0,54,Democratic
2000,Colorado,8,8,0,Republican
2000,Connecticut,8,0,8,Democratic
2000,Delaware,3,0,3,Democratic
2000,District of Columbia,3,0,2,Democratic
2000,Florida,25,25,0,Republican
2000,Georgia,13,13,0,Republican
2000,Hawaii,4,0,4,Democratic
2000,Idaho,4,4,0,Republican
2000,Illinois,22,0,22,Democratic
2000,Indiana,12,12,0,Republican
2000,Iowa,7,0,7,Democratic
2000,Kansas,6,6,0,Republican
2000,Kentucky,8,8,0,Republican
2000,Louisiana,9,9,0,Republican
2000,Maine,4,0,4,Democratic
2000,Maryland,10,0,10,Democratic
2000,Massachusetts,12,0,12,Democratic
2000,Michigan,18,0,18,Democratic
2000,Minnesota,10,0,10,Democratic
2000,Mississippi,7,7,0,Republican
2000,Missouri,11,11,0,Republican
2000,Montana,3,3,0,Republican
2000,Nebraska,5,5,0,Republican
2000,Nevada,4,4,0,Republican
2000,New Hampshire,4,4,0,Republican
2000,New Jersey,15,0,15,Democratic
2000,New Mexico,5,0,5,Democratic
2000,New York,33,0,33,Democratic
2000,North Carolina,14,14,0,Republican
2000,North Dakota,3,3,0,Republican
2000,Ohio,21,21,0,Republican
2000,Oklahoma,8,8,0,Republican
2000,Oregon,7,0,7,Democratic
2000,Pennsylvania,23,0,23,Democratic
2000,Rhode Island,4,0,4,Democratic
2000,South Carolina,8,8,0,Republican
2000,South Dakota,3,3,0,Republican
2000,Tennessee,11,11,0,Republican
2000,Texas,32,32,0,Republican
2000,Utah,5,5,0,Republican
2000,Vermont,3,0,3,Democratic
2000,Virginia,13,13,0,Republican
2000,Washington,11,0,11,Democratic
2000,West Virginia,5,5,0,Republican
2000,Wisconsin,11,0,11,Democratic
2000,Wyoming,3,3,0,Republican
2004,Alabama,9,9,0,Republican
2004,Alaska,3,3,0,Republican
2004,Arizona,10,10,0,Republican
2004,Arkansas,6,6,0,Republican
2004,California,55,0,55,Democratic
2004,Colorado,9,9,0,Republican
2004,Connecticut,7,0,7,Democratic
2004,Delaware,3,0,3,Democratic
2004,District of Columbia,3,0,3,Democratic
2004,Florida,27,27,0,Republican
2004,Georgia,15,15,0,Republican
2004,Hawaii,4,0,4,Democratic
2004,Idaho,4,4,0,Republican
2004,Illinois,21,0,21,Democratic
2004,Indiana,11,11,0,Republican
2004,Iowa,7,7,0,Republican
2004,Kansas,6,6,0,Republican
2004,Kentucky,8,8,0,Republican
2004,Louisiana,9,9,0,Republican
2004,Maine,4,0,4,Democratic
2004,Maryland,10,0,10,Democratic
2004,Massachusetts,12,0,12,Democratic
2004,Michigan,17,0,17,Democratic
2004,Minnesota,10,0,9,Democratic
2004,Mississippi,6,6,0,Republican
2004,Missouri,11,11,0,Republican
2004,Montana,3,3,0,Republican
2004,Nebraska,5,5,0,Republican
2004,Nevada,5,5,0,Republican
2004,New Hampshire,4,0,4,Democratic
2004,New Jersey,15,0,15,Democratic
2004,New Mexico,5,5,0,Republican
2004,New York,31,0,31,Democratic
2004,North Carolina,15,15,0,Republican
2004,North Dakota,3,3,0,Republican
2004,Ohio,20,20,0,Republican
2004,Oklahoma,7,7,0,Republican
2004,Oregon,7,0,7,Democratic
2004,Pennsylvania,21,0,21,Democratic
2004,Rhode Island,4,0,4,Democratic
2004,South Carolina,8,8,0,Republican
2004,South Dakota,3,3,0,Republican
2004,Tennessee,11,11,0,Republican
2004,Texas,34,34,0,Republican
2004,Utah,5,5,0,Republican
2004,Vermont,3,0,3,Democratic
2004,Virginia,13,13,0,Republican
2004,Washington,11,0,11,Democratic
2004,West Virginia,5,5,0,Republican
2004,Wisconsin,10,0,10,Democratic
2004,Wyoming,3,3,0,Republican
2008,Alabama,9,9,0,Republican
2008,Alaska,3,3,0,Republican
2008,Arizona,10,10,0,Republican
2008,Arkansas,6,6,0,Republican
2008,California,55,0,55,Democratic
2008,Colorado,9,0,9,Democratic
2008,Connecticut,7,0,7,Democratic
2008,Delaware,3,0,3,Democratic
2008,District of Columbia,3,0,3,Democratic
2008,Florida,27,0,27,Democratic
2008,Georgia,15,15,0,Republican
2008,Hawaii,4,0,4,Democratic
2008,Idaho,4,4,0,Republican
2008,Illinois,21,0,21,Democratic
2008,Indiana,11,0,11,Democratic
2008,Iowa,7,0,7,Democratic
