,State,Electoral Vote of each State,Republican,Democrat
Year,,,"George W. Bush, of Texas","Albert Gore, Jr., of Tennessee"
2000,Alabama,9,9,-
2000,Alaska,3,3,-
2000,Arizona,8,8,-
2000,Arkansas,6,6,-
2000,California,54,-,54
2000,Colorado,8,8,-
2000,Connecticut,8,-,8
2000,Delaware,3,-,3
2000,District of Columbia,3,-,2
2000,Florida,25,25,-
2000,Georgia,13,13,-
2000,Hawaii,4,-,4
2000,Idaho,4,4,-
2000,Illinois,22,-,22
2000,Indiana,12,12,-
2000,Iowa,7,-,7
2000,Kansas,6,6,-
2000,Kentucky,8,8,-
2000,Louisiana,9,9,-
2000,Maine,4,-,4
2000,Maryland,10,-,10
2000,Massachusetts,12,-,12
2000,Michigan,18,-,18
2000,Minnesota,10,-,10
2000,Mississippi,7,7,-
2000,Missouri,11,11,-
2000,Montana,3,3,-
2000,Nebraska,5,5,-
2000,Nevada,4,4,-
2000,New Hampshire,4,4,-
2000,New Jersey,15,-,15
2000,New Mexico,5,-,5
2000,New York,33,-,33
2000,North Carolina,14,14,-
2000,North Dakota,3,3,-
2000,Ohio,21,21,-
2000,Oklahoma,8,8,-
2000,Oregon,7,-,7
2000,Pennsylvania,23,-,23
2000,Rhode Island,4,-,4
2000,South Carolina,8,8,-
2000,South Dakota,3,3,-
2000,Tennessee,11,11,-
2000,Texas,32,32,-
2000,Utah,5,5,-
2000,Vermont,3,-,3
2000,Virginia,13,13,-
2000,Washington,11,-,11
2000,West Virginia,5,5,-
2000,Wisconsin,11,-,11
2000,Wyoming,3,3,-
2000,Total,538,271,266
2004,,,"George W. Bush, of Texas","John F. Kerry, of Massachusetts"
2004,Alabama,9,9,-
2004,Alaska,3,3,-
2004,Arizona,10,10,-
2004,Arkansas,6,6,-
2004,California,55,-,55
2004,Colorado,9,9,-
2004,Connecticut,7,-,7
2004,Delaware,3,-,3
2004,District of Columbia,3,-,3
2004,Florida,27,27,-
2004,Georgia,15,15,-
2004,Hawaii,4,-,4
2004,Idaho,4,4,-
2004,Illinois,21,-,21
2004,Indiana,11,11,-
2004,Iowa,7,7,-
2004,Kansas,6,6,-
2004,Kentucky,8,8,-
2004,Louisiana,9,9,-
2004,Maine,4,-,4
2004,Maryland,10,-,10
2004,Massachusetts,12,-,12
2004,Michigan,17,-,17
2004,Minnesota,10,-,9
2004,Mississippi,6,6,-
2004,Missouri,11,11,-
2004,Montana,3,3,-
2004,Nebraska,5,5,-
2004,Nevada,5,5,-
2004,New Hampshire,4,-,4
2004,New Jersey,15,-,15
2004,New Mexico,5,5,-
2004,New York,31,-,31
2004,North Carolina,15,15,-
2004,North Dakota,3,3,-
2004,Ohio,20,20,-
2004,Oklahoma,7,7,-
2004,Oregon,7,-,7
2004,Pennsylvania,21,-,21
2004,Rhode Island,4,-,4
2004,South Carolina,8,8,-
2004,South Dakota,3,3,-
2004,Tennessee,11,11,-
2004,Texas,34,34,-
2004,Utah,5,5,-
2004,Vermont,3,-,3
2004,Virginia,13,13,-
2004,Washington,11,-,11
2004,West Virginia,5,5,-
2004,Wisconsin,10,-,10
2004,Wyoming,3,3,-
2004,Total,538,286,251
2008,,,"John McCain, of Arizona","Barack Obama, of Illinois"
2008,Alabama,9,9,-
2008,Alaska,3,3,-
2008,Arizona,10,10,-
2008,Arkansas,6,6,-
2008,California,55,-,55
2008,Colorado,9,-,9
2008,Connecticut,7,-,7
2008,Delaware,3,-,3
2008,District of Columbia,3,-,3
2008,Florida,27,-,27
2008,Georgia,15,15,-
2008,Hawaii,4,-,4
2008,Idaho,4,4,-
2008,Illinois,21,-,21
2008,Indiana,11,-,11
2008,Iowa,7,-,7
2008,Kansas,6,6,-
2008,Kentucky,8,8,-
2008,Louisiana,9,9,-
2008,Maine,4,-,4
2008,Maryland,10,-,10
2008,Massachusetts,12,-,12
2008,Michigan,17,-,17
2008,Minnesota,10,-,10
2008,Mississippi,6,6,-
2008,Missouri,11,11,-
2008,Montana,3,3,-
2008,Nebraska ,5,4,1
2008,Nevada,5,-,5
2008,New Hampshire,4,-,4
2008,New Jersey,15,-,15
2008,New Mexico,5,-,5
2008,New York,31,-,31
2008,North Carolina,15,-,15
2008,North Dakota,3,3,-
2008,Ohio,20,-,20
2008,Oklahoma,7,7,-
2008,Oregon,7,-,7
2008,Pennsylvania,21,-,21
