Year of Date,Forecast indicator,State,Lower Prediction Interval for Fed Estimated Pop,Upper Prediction Interval for Fed Estimated Pop,Fed Estimated Pop
2023,Estimate,WY,558572.833838718,599490.637780175,579031.735809446
2024,Estimate,WY,553605.119438942,604752.374365763,579178.746902353
2025,Estimate,WY,546575.535225251,612075.980765268,579325.757995259
2026,Estimate,WY,537920.542756446,621024.995419886,579472.769088166
2027,Estimate,WY,527963.584809363,631275.975552782,579619.780181072
2028,Estimate,WY,516915.992180496,642617.590367461,579766.791273979
2029,Estimate,WY,504917.204936863,654910.399796907,579913.802366885
2030,Estimate,WY,492063.748780419,668057.878139164,580060.813459792
2031,Estimate,WY,478426.072363345,681989.576742051,580207.824552698
2032,Estimate,WY,464058.079373302,696651.591917908,580354.835645605
2033,Estimate,WY,449002.66214754,712001.031329482,580501.846738511
2034,Estimate,WY,433295.04553476,728002.670128075,580648.857831418
1910,Actual,WY,,,147000
1911,Actual,WY,,,150000
1912,Actual,WY,,,153000
1913,Actual,WY,,,157000
1914,Actual,WY,,,163000
1915,Actual,WY,,,167000
1916,Actual,WY,,,174000
1917,Actual,WY,,,186000
1918,Actual,WY,,,181000
1919,Actual,WY,,,191000
1920,Actual,WY,,,197000
1921,Actual,WY,,,203000
1922,Actual,WY,,,208000
1923,Actual,WY,,,211000
1924,Actual,WY,,,215000
1925,Actual,WY,,,216000
1926,Actual,WY,,,217000
1927,Actual,WY,,,219000
1928,Actual,WY,,,220000
1929,Actual,WY,,,223000
1930,Actual,WY,,,226000
1931,Actual,WY,,,229000
1932,Actual,WY,,,230000
1933,Actual,WY,,,230000
1934,Actual,WY,,,233000
1935,Actual,WY,,,237000
1936,Actual,WY,,,240000
1937,Actual,WY,,,243000
1938,Actual,WY,,,246000
1939,Actual,WY,,,248000
1940,Actual,WY,,,250000
1941,Actual,WY,,,247000
1942,Actual,WY,,,251000
1943,Actual,WY,,,247000
1944,Actual,WY,,,242000
1945,Actual,WY,,,239000
1946,Actual,WY,,,254000
1947,Actual,WY,,,258000
1948,Actual,WY,,,269000
1949,Actual,WY,,,277000
1950,Actual,WY,,,290000
1951,Actual,WY,,,291000
1952,Actual,WY,,,293000
1953,Actual,WY,,,290000
1954,Actual,WY,,,293000
1955,Actual,WY,,,307000
1956,Actual,WY,,,312000
1957,Actual,WY,,,314000
1958,Actual,WY,,,315000
1959,Actual,WY,,,320000
1960,Actual,WY,,,331000
1961,Actual,WY,,,337000
1962,Actual,WY,,,333000
1963,Actual,WY,,,336000
1964,Actual,WY,,,339000
1965,Actual,WY,,,332000
1966,Actual,WY,,,323000
1967,Actual,WY,,,322000
1968,Actual,WY,,,324000
1969,Actual,WY,,,329000
1970,Actual,WY,,,332416
1971,Actual,WY,,,340285
1972,Actual,WY,,,347345
1973,Actual,WY,,,354061
1974,Actual,WY,,,365501
1975,Actual,WY,,,381695
1976,Actual,WY,,,396952
1977,Actual,WY,,,413354
1978,Actual,WY,,,432880
1979,Actual,WY,,,454378
1980,Actual,WY,,,474185
1981,Actual,WY,,,491712
1982,Actual,WY,,,506400
1983,Actual,WY,,,510345
1984,Actual,WY,,,504896
1985,Actual,WY,,,499695
1986,Actual,WY,,,495633
1987,Actual,WY,,,476965
1988,Actual,WY,,,465101
1989,Actual,WY,,,458374
1990,Actual,WY,,,453401
1991,Actual,WY,,,457739
1992,Actual,WY,,,463491
1993,Actual,WY,,,469033
1994,Actual,WY,,,474982
1995,Actual,WY,,,478447
1996,Actual,WY,,,480085
1997,Actual,WY,,,480031
1998,Actual,WY,,,480045
1999,Actual,WY,,,479602
2000,Actual,WY,,,494300
2001,Actual,WY,,,494657
2002,Actual,WY,,,500017
2003,Actual,WY,,,503453
2004,Actual,WY,,,509106
2005,Actual,WY,,,514157
2006,Actual,WY,,,522667
2007,Actual,WY,,,534876
2008,Actual,WY,,,546043
2009,Actual,WY,,,559851
2010,Actual,WY,,,564531
2011,Actual,WY,,,567491
2012,Actual,WY,,,576656
2013,Actual,WY,,,582620
2014,Actual,WY,,,583159
2015,Actual,WY,,,586389
2016,Actual,WY,,,585243
2017,Actual,WY,,,579994
2018,Actual,WY,,,579054
2019,Actual,WY,,,580116
2020,Actual,WY,,,577605
2021,Actual,WY,,,579483
2022,Actual,WY,,,581381
2023,Estimate,WV,1736327.6041467,1795240.76418874,1765784.18416772
2024,Estimate,WV,1720897.53228807,1794822.33731415,1757859.93480111
2025,Estimate,WV,1698259.95153846,1801682.54209694,1749971.2468177
2026,Estimate,WV,1677325.98550033,1806909.93575945,1742117.96062989
2027,Estimate,WV,1653209.41099835,1815390.42373414,1734299.91736625
2028,Estimate,WV,1628874.68731447,1824159.23042213,1726516.9588683
2029,Estimate,WV,1607404.17933854,1830133.67603618,1718768.92768736
2030,Estimate,WV,1580150.07867521,1841961.25548735,1711055.66708128
2031,Estimate,WV,1546900.62558562,1859853.41643709,1703377.02101135
2032,Estimate,WV,1518429.82817014,1873035.84010806,1695732.8341391
2033,Estimate,WV,1486592.67471693,1889653.22892938,1688122.95182316
2034,Estimate,WV,1453741.34812787,1907353.09210442,1680547.22011614
1910,Actual,WV,,,1231000
1911,Actual,WV,,,1266000
1912,Actual,WV,,,1291000
1913,Actual,WV,,,1317000
1914,Actual,WV,,,1362000
1915,Actual,WV,,,1387000
1916,Actual,WV,,,1414000
1917,Actual,WV,,,1439000
1918,Actual,WV,,,1438000
1919,Actual,WV,,,1464000
1920,Actual,WV,,,1470000
1921,Actual,WV,,,1485000
1922,Actual,WV,,,1498000
1923,Actual,WV,,,1526000
1924,Actual,WV,,,1577000
1925,Actual,WV,,,1593000
1926,Actual,WV,,,1623000
1927,Actual,WV,,,1671000
1928,Actual,WV,,,1696000
1929,Actual,WV,,,1717000
1930,Actual,WV,,,1733000
1931,Actual,WV,,,1740000
1932,Actual,WV,,,1747000
1933,Actual,WV,,,1752000
1934,Actual,WV,,,1771000
1935,Actual,WV,,,1794000
1936,Actual,WV,,,1808000
1937,Actual,WV,,,1813000
1938,Actual,WV,,,1828000
1939,Actual,WV,,,1868000
1940,Actual,WV,,,1907000
1941,Actual,WV,,,1885000
1942,Actual,WV,,,1831000
1943,Actual,WV,,,1741000
1944,Actual,WV,,,1706000
1945,Actual,WV,,,1708000
1946,Actual,WV,,,1826000
1947,Actual,WV,,,1883000
1948,Actual,WV,,,1899000
1949,Actual,WV,,,1930000
1950,Actual,WV,,,2006000
1951,Actual,WV,,,1984000
1952,Actual,WV,,,1957000
1953,Actual,WV,,,1929000
1954,Actual,WV,,,1905000
1955,Actual,WV,,,1880000
1956,Actual,WV,,,1857000
1957,Actual,WV,,,1843000
1958,Actual,WV,,,1845000
1959,Actual,WV,,,1855000
1960,Actual,WV,,,1853000
1961,Actual,WV,,,1828000
1962,Actual,WV,,,1809000
1963,Actual,WV,,,1796000
1964,Actual,WV,,,1797000
1965,Actual,WV,,,1786000
1966,Actual,WV,,,1775000
1967,Actual,WV,,,1769000
1968,Actual,WV,,,1763000
1969,Actual,WV,,,1746000
1970,Actual,WV,,,1744237
1971,Actual,WV,,,1770657
1972,Actual,WV,,,1797648
1973,Actual,WV,,,1806360
1974,Actual,WV,,,1815447
1975,Actual,WV,,,1842250
1976,Actual,WV,,,1879503
1977,Actual,WV,,,1908088
1978,Actual,WV,,,1923395
1979,Actual,WV,,,1942146
1980,Actual,WV,,,1951349
1981,Actual,WV,,,1954124
1982,Actual,WV,,,1949604
1983,Actual,WV,,,1945061
1984,Actual,WV,,,1927697
1985,Actual,WV,,,1906831
1986,Actual,WV,,,1882350
1987,Actual,WV,,,1857585
1988,Actual,WV,,,1830215
1989,Actual,WV,,,1806568
1990,Actual,WV,,,1792481
1991,Actual,WV,,,1798212
1992,Actual,WV,,,1805462
1993,Actual,WV,,,1816179
1994,Actual,WV,,,1818490
1995,Actual,WV,,,1820560
1996,Actual,WV,,,1818983
1997,Actual,WV,,,1815588
1998,Actual,WV,,,1811688
1999,Actual,WV,,,1806928
2000,Actual,WV,,,1807021
2001,Actual,WV,,,1801481
2002,Actual,WV,,,1805414
2003,Actual,WV,,,1812295
2004,Actual,WV,,,1816438
2005,Actual,WV,,,1820492
2006,Actual,WV,,,1827912
2007,Actual,WV,,,1834052
2008,Actual,WV,,,1840310
2009,Actual,WV,,,1847775
2010,Actual,WV,,,1854265
2011,Actual,WV,,,1856606
2012,Actual,WV,,,1857446
2013,Actual,WV,,,1854768
2014,Actual,WV,,,1850569
2015,Actual,WV,,,1843332
2016,Actual,WV,,,1832435
2017,Actual,WV,,,1818683
2018,Actual,WV,,,1805953
2019,Actual,WV,,,1795263
2020,Actual,WV,,,1791420
2021,Actual,WV,,,1785526
2022,Actual,WV,,,1775156
2023,Estimate,WI,5866233.76267807,5979436.21117724,5922834.98692765
2024,Estimate,WI,5872980.43424116,6013223.60420017,5943102.01922066
2025,Estimate,WI,5874568.24820858,6052169.85481876,5963369.05151367
2026,Estimate,WI,5872046.96696914,6095225.20064422,5983636.08380668
2027,Estimate,WI,5866209.70262558,6141596.5295738,6003903.11609969
2028,Estimate,WI,5857585.59788577,6190754.69889963,6024170.1483927
